product_id,seller_id,category_id,country_id,condition_id,product_name,product_price,shipping_fee,page_number,category_id,category,condition_id,product_condition,seller_id,seller_name,seller_feedback_score,country_id,origin_country
69,69,1,1,8,Apple iPhone 12 Mini A2176 64GB T-Mobile Clean IMEI Great Condition - RJ1324,2064.97,112.88,1,1,Cell Phones & Accessories,8,Used,69,purpletechnado,17276,1,United States
70,70,1,14,8,Apple iPhone 12 - 128GB - Black (Unlocked),3176.27,135.25,1,1,Cell Phones & Accessories,8,Used,70,al.ltd4,721,14,United Kingdom
71,17,1,1,8,Apple iPhone 11 64GB / 128GB / 256GB - Unlocked/ Verizon/ AT&T/ T-Mobile/ Sprint,1698.62,105.88,1,1,Cell Phones & Accessories,8,Used,17,itsworthmore,43886,1,United States
72,72,1,14,8,"Apple iPhone 12 Pro - 256GB - Pacific Blue (Unlocked), Pristine, With Extras!",2715.98,170.6,1,1,Cell Phones & Accessories,8,Used,72,lordvader_uk,1137,14,United Kingdom
73,73,1,1,2, Apple iPhone 12 Mini | 128GB Black | Unlocked Verizon AT&T T-Mobile Metro Mint,2164.92,114.78,1,1,Cell Phones & Accessories,2,Seller refurbished,73,adopt-a-phone,10093,1,United States
74,74,1,15,1,Apple iPhone 12 Pro Max - 512GB - Graphite (Unlocked),1214.29,19.59,1,1,Cell Phones & Accessories,1,New,74,blamon-46,0,15,Philippines
75,75,1,14,1,Apple iPhone 12 Pro - 512GB - Graphite (Unlocked),3038.22,132.71,1,1,Cell Phones & Accessories,1,New,75,surfergal1waves,1102,14,United Kingdom
76,1,1,1,1,Apple iPhone 12 Mini - 64gb - Unlocked - Factory Sealed - Factory Warranty,2544.66,117.94,1,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
77,77,1,14,77,New Condition Apple iPhone 6 - 16GB - Space Grey -Unlocked - 12 Months Warranty,506.32,86.64,1,1,Cell Phones & Accessories,77,Open box,77,isell-originals,2923,14,United Kingdom
78,73,1,1,77,NEW*  Apple iPhone 12 Mini 128GB | Unlocked Verizon AT&T T-Mobile Cricket Metro,2331.46,117.97,1,1,Cell Phones & Accessories,77,Open box,73,adopt-a-phone,10093,1,United States
79,79,1,14,1,Apple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked),4410.02,89.77,2,1,Cell Phones & Accessories,1,New,79,jacmad-7,59,14,United Kingdom
80,73,1,1,77,NEW*  Apple iPhone 12 Mini | 64GB Green | Unlocked Verizon AT&T T-Mobile Metro,2198.23,115.44,2,1,Cell Phones & Accessories,77,Open box,73,adopt-a-phone,10093,1,United States
81,81,1,1,8,Apple iPhone 11 Pro Max - 64GB - Gold (Unlocked) A2161 (CDMA + GSM) - SHIPS FAST,2498.03,226.32,2,1,Cell Phones & Accessories,8,Used,81,sweet5electronics,3097,1,United States
82,73,1,1,77,NEW*  Apple iPhone 12 Mini | 128GB RED | Unlocked Verizon AT&T T-Mobile Cricket,2331.46,117.97,2,1,Cell Phones & Accessories,77,Open box,73,adopt-a-phone,10093,1,United States
83,83,1,15,1,Apple iPhone 12 Pro Max - 256GB - Oro (Desbloqueado),1942.87,47.0,2,1,Cell Phones & Accessories,1,New,83,connshei-0,0,15,Philippines
84,3,1,1,1,Apple iPhone 12 - 64GB - (UNLOCKED)  - Factory Warranty -  ⚫⚪🔴🔵 ✤NEW SEALED✤,2844.25,127.77,2,1,Cell Phones & Accessories,1,New,3,santamonicawireless,22198,1,United States
85,85,1,1,1,Apple iPhone 12 mini - 64GB - White (Unlocked),2161.63,138.96,2,1,Cell Phones & Accessories,1,New,85,situ185,272,1,United States
86,86,1,15,1,Apple iPhone 12 Pro Max - 256GB - Azul Pacífico,1931.12,62.67,2,1,Cell Phones & Accessories,1,New,86,parisjosu-0,0,15,Philippines
87,87,1,14,1,Apple iPhone 12 mini - 128GB - Black (Unlocked) **BRAND NEW SEALED** Listing2!,2992.19,175.62,2,1,Cell Phones & Accessories,1,New,87,boston-collectables,1681,14,United Kingdom
88,88,1,15,1,Apple iPhone 12 - 256 GB - Green Unlocked BNIB,1514.51,36.83,2,1,Cell Phones & Accessories,1,New,88,namur713,0,15,Philippines
89,89,1,14,2,Apple iPhone X 64GB Unlocked 12 MONTH WARRANTY Silver Grade A Refurbished,1422.44,115.08,2,1,Cell Phones & Accessories,2,Seller refurbished,89,hotzomma,26,14,United Kingdom
90,2,1,1,2,Apple iPhone 12 Pro Max Smartphone 128 256 512GB AT&T T-Mobile Verizon Unlocked,4259.97,154.81,2,1,Cell Phones & Accessories,2,Seller refurbished,2,supplytronics,69441,1,United States
91,91,1,1,1,Apple iPhone 12 mini - 64GB - Black (AT&T),2498.03,117.07,2,1,Cell Phones & Accessories,1,New,91,rick.west,507,1,United States
92,34,1,1,77,Apple iPhone 11 Pro Max 64GB Gold Verizon T-Mobile AT&T Unlocked Smartphone,2414.73,99.55,2,1,Cell Phones & Accessories,77,Open box,34,buyspry,214574,1,United States
93,93,1,14,8,Apple iPhone 12 mini - 64GB - Green (Unlocked),2297.08,181.88,2,1,Cell Phones & Accessories,8,Used,93,firmbarnbradley,3715,14,United Kingdom
94,94,1,14,77,Apple iPhone 12 Pro 128GB Graphite (Factory Unlocked)-Brand New- 100% UK Handset,3820.79,190.72,2,1,Cell Phones & Accessories,77,Open box,94,love.your.smile,661,14,United Kingdom
95,95,1,14,77,Apple iPhone 12 Pro - 256GB - Graphite (EE),3268.39,183.44,2,1,Cell Phones & Accessories,77,Open box,95,scottmcc7777,35,14,United Kingdom
96,96,1,14,1,Apple iPhone 12 Pro Max - 512GB - Gold (Unlocked),4166.04,220.5,2,1,Cell Phones & Accessories,1,New,96,mike-7262,256,14,United Kingdom
97,97,1,1,77,Apple iPhone 12 Pro Max - 128GB - Silver (Verizon),2697.87,161.94,2,1,Cell Phones & Accessories,77,Open box,97,csunited14,161,1,United States
98,54,1,1,1,Apple iPhone 12 - 128GB - Blue (T-Mobile) BRAND NEW SEALED IN BOX!,2827.77,161.11,2,1,Cell Phones & Accessories,1,New,54,williamjhawk,1695,1,United States
99,99,1,14,77,APPLE iPhone 12 Mini - 128 GB - White - MGE43B/A (Unlocked) - With AppleCare,2255.65,185.75,2,1,Cell Phones & Accessories,77,Open box,99,robin.morgan,251,14,United Kingdom
100,100,1,1,1,Apple iPhone 12 Pro - 128GB - Pacific Blue (Unlocked) - MGLR3LL/A FACTORY SEALED,3627.13,142.72,2,1,Cell Phones & Accessories,1,New,100,ipayyou.io,531,1,United States
101,62,1,14,8,Apple iPhone 12 Pro - 128GB - Silver (Unlocked) NO UK SIGNAL / NON UK SALE,1173.86,158.22,2,1,Cell Phones & Accessories,8,Used,62,anjal_josep,364,14,United Kingdom
102,102,1,14,1,Apple iPhone 12 - 128GB - Black (Unlocked),3268.39,164.29,2,1,Cell Phones & Accessories,1,New,102,soutorka0,65,14,United Kingdom
103,103,1,14,77,Apple iPhone 12 mini - 64GB - Blue (Unlocked),1809.12,128.07,2,1,Cell Phones & Accessories,77,Open box,103,ms_marvel85,742,14,United Kingdom
104,104,1,1,1,Apple iPhone 12 Pro - 128GB - Graphite (T-mobile Only )(Carrier)Brand New Sealed,3330.67,132.96,2,1,Cell Phones & Accessories,1,New,104,electronixking444,1133,1,United States
105,61,1,1,8,Apple iPhone 12 mini - 64GB - Blue (Unlocked),2128.32,114.08,2,1,Cell Phones & Accessories,8,Used,61,gadgetgone,17171,1,United States
106,106,1,15,1,Apple iPhone 12 Pro Max - 256GB - Pazifikblau (Ohne Simlock),1715.68,23.5,1,1,Cell Phones & Accessories,1,New,106,leuschri24,0,15,Philippines
107,107,1,1,1,Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Verizon),4130.07,157.68,1,1,Cell Phones & Accessories,1,New,107,farleys_company,130,1,United States
